# Data from the low resolution GMT shoreline, borders, and rivers database
> Shore Bin # 1, Level 1
16.4257267109	80
16.2697795071	80.0587472343
16.0817883574	80
> Shore Bin # 26, Level 1
-90	80.4840161746
-90.7486076143	80.5613794156
-90.5566491188	80.6398107881
-91.8049897002	81.163042649
-93.4926375219	81.3797207599
-93.4955367361	81.3099870298
-94.2064545663	81.3482871748
-94.360265507	81.2509346151
-93.1798275731	81.2126344701
-93.1042954147	81.0899519341
-94.2453650721	81.1126878767
-93.8062104219	81.0298313878
-94.3483634699	80.9619287404
-94.8725108721	81.0591287098
-95.5019455253	80.8133058671
-93.8335240711	80.7051194018
-94.6022735943	80.6387426566
-93.766536965	80.5201800565
-94.9681849393	80.6031891356
-95.9700923171	80.5824368658
-96.048065919	80.4870679789
-95.2320134279	80.374914168
-96.6196688792	80.3509575036
-95.924773022	80.193026627
-95.2121766995	80.2439917601
-95.7036697948	80.172121767
-95.3394369421	80.1182574197
-94.5566491188	80.2296482795
-94.0761425193	80.1829556725
-94.7885862516	80.087129015
-94.4661631189	80
> Shore Bin # 26, Level 1
-90	81.8959334707
-90.5775539788	81.8779278248
-91.8912031739	81.6580453193
-91.3975738155	81.5114061189
-90.6979476616	81.6749828336
-90.2301060502	81.6317998016
-90.140077821	81.702449073
-90.0285343709	81.6086060883
-90	81.6096742199
> Shore Bin # 26, Level 1
-94.6729228656	80
-96.6782635233	80.14633402
-96.6250095369	80.0430304417
-96.3054856184	80.0483710994
-96.4722667277	80
> Shore Bin # 26, Level 1
-90	81.5585564965
-90.8061341268	81.4477759976
-90.4046692607	81.3624780652
-90	81.4033722438
> Shore Bin # 26, Level 1
-90	81.2022583352
-90.2415503166	81.1941710536
-90	81.1103990234
> Shore Bin # 27, Level 1
-80	82.9263752193
-81.814602884	82.7922484169
-82.3566033417	82.6750591287
-82.6344701305	82.3584344244
-80.4199282826	82.0407415885
-85.1869993133	82.4805065995
-86.8096437018	82.2880903334
-86.1098649577	82.3105210956
-86.0495918212	82.2507057298
-86.4931715877	82.2665751125
-86.0666819257	82.2314793622
-86.8599984741	82.1977569238
-86.6262302586	82.1188677806
-84.8070496681	82.014648661
-84.5032425422	81.8811322194
