20
# x y z
10	-0.5	0
10	-3	0
10	-5.5	0
10	-8	0
10	-10.5	0
10	-13	0
10	-15.5	0
10	-18	0
10	-20.5	0
10	-23	0
-10	-0.5	0
-10	-3	0
-10	-5.5	0
-10	-8	0
-10	-10.5	0
-10	-13	0
-10	-15.5	0
-10	-18	0
-10	-20.5	0
-10	-23	0
100
# g s err t valid 
11	1	4.82932942441043e-05	3.82593350124404e-02	1
12	1	4.41063487208564e-05	3.40847241559916e-02	1
13	1	4.05124478746305e-05	3.04994103883753e-02	1
14	1	3.95697248993139e-05	2.95002769173007e-02	1
15	1	3.91504992554907e-05	2.91585902726780e-02	1
16	1	3.94062445692188e-05	2.93269881855691e-02	1
17	1	4.04850789814008e-05	3.04625186424700e-02	1
18	1	4.20223256871073e-05	3.20364963300633e-02	1
19	1	4.33007139629302e-05	3.33677796663150e-02	1
20	1	4.46721222343585e-05	3.46108885232768e-02	1
11	2	4.40799249271036e-05	3.41427516649559e-02	1
12	2	3.98929794038557e-05	2.98818307558578e-02	1
13	2	3.62990785576298e-05	2.62787645802793e-02	1
14	2	3.53343730770142e-05	2.53762931895319e-02	1
15	2	3.48853990198232e-05	2.49446525295717e-02	1
16	2	3.51282825373413e-05	2.50688728778109e-02	1
17	2	3.61941009631566e-05	2.61687823627064e-02	1
18	2	3.76730504020293e-05	2.76950123905561e-02	1
19	2	3.89271364866278e-05	2.89652158924531e-02	1
20	2	4.02985447580561e-05	3.02494864337765e-02	1
11	3	4.05667849439807e-05	3.05128556447186e-02	1
12	3	3.63656394309261e-05	2.63655865282934e-02	1
13	3	3.27580813935212e-05	2.27150158939016e-02	1
14	3	3.17218018322367e-05	2.17097598637388e-02	1
15	3	3.12054342620584e-05	2.12449157097428e-02	1
16	3	3.14057213435381e-05	2.14095110010834e-02	1
17	3	3.24624453252731e-05	2.24672478771689e-02	1
18	3	3.39413947641457e-05	2.38479294699670e-02	1
19	3	3.51628009657085e-05	2.51502514912956e-02	1
20	3	3.65154052592066e-05	2.65156870791363e-02	1
11	4	3.95930947255322e-05	2.96516242932035e-02	1
12	4	3.53501533971837e-05	2.53163015731687e-02	1
13	4	3.17289152139646e-05	2.17710831994980e-02	1
14	4	3.06095094440123e-05	2.05793330704466e-02	1
